year,predicted_water_pixels
1984,131151
1984,489356
1984,528804
1984,170414
1984,985617
1984,1038428
1984,415184
1984,416450
1984,550568
1984,683828
1985,615792
1985,548128
1985,558047
1985,473544
1985,620853
1985,785872
1985,863773
1985,318218
1985,1087567
1986,688151
1986,228325
1986,350955
1986,409501
1986,310085
1986,654585
1986,729557
1986,633246
1986,236621
1987,742702
1987,792630
1987,408121
1987,630594
1987,660024
1987,504804
1987,510086
1987,568318
1987,1017034
1988,799431
1988,776853
1988,444548
1988,423052
1988,400131
1988,462587
1988,437645
1988,953295
1988,568497
1989,1149270
1989,1154740
1989,1099041
1989,1007431
1989,779317
1989,742182
1989,622793
1989,246365
1989,564652
1989,611701
1990,659340
1990,661230
1990,982666
1990,629726
1990,641165
1990,386056
1990,569532
1990,742087
1990,1014254
1991,1031649
1991,467773
1991,714917
1991,597263
1991,299966
1991,505360
1991,416442
1991,707371
1991,840963
1992,781704
1992,493057
1992,1042161
1992,1078811
1992,841405
1992,622713
1992,473457
1992,246468
1992,441452
1993,533130
1993,908791
1993,1001674
1993,822686
1993,775390
1993,608909
1993,270399
1993,314318
1993,235946
1994,491794
1994,701814
1994,6217
1994,1069138
1994,873538
1994,880373
1994,802999
1994,585730
1994,498635
1995,678295
1995,749146
1995,896193
1995,799607
1995,1076384
1995,1064822
1995,625173
1995,794023
1995,602770
1995,597698
1996,620811
1996,763463
1996,1155189
1996,1156306
1996,1157066
1996,548142
1996,576267
1996,390673
1996,371911
1997,288983
1997,634084
1997,603641
1997,651473
1997,0
1997,1156901
1997,1155009
1997,1008936
1997,392662
1998,424228
1998,678078
1998,134239
1998,786305
1998,793437
1998,826624
1998,882244
1998,1136856
1998,846411
1999,408926
1999,578241
1999,1011471
1999,1151495
1999,933112
1999,1156740
1999,1151195
1999,1042771
1999,708050
2000,571617
2000,442094
2000,531571
2000,464471
2000,1119475
2000,950130
2000,720785
2000,791079
2000,1091991
2000,925232
2001,726468
2001,914960
2001,1148213
2001,1003107
2001,764472
2001,904640
2001,739369
2001,1051362
2001,564021
2002,663676
2002,951399
2002,1129304
2002,426378
2002,413707
2002,500994
2002,670091
2002,578485
2002,532750
2003,548451
2003,298424
2003,1018783
2003,921513
2003,640644
2003,635424
2003,862367
2003,563445
2003,935163
2004,1075520
2004,251772
2004,1107895
2004,474364
2004,773737
2004,826204
2004,978115
2004,923287
2004,287743
2005,1124081
2005,294494
2005,902771
2005,397759
2005,444905
2005,382352
2005,458122
2005,229349
2005,105846
2006,406204
2006,1140649
2006,683631
2006,675345
2006,993318
2006,1006375
2006,759777
2006,1099652
2006,632015
2006,635001
2007,992234
2007,392094
2007,629535
2007,409253
2007,307029
2007,516502
2007,711027
2007,609749
2007,591910
2008,537733
2008,987099
2008,374050
2008,966736
2008,577610
2008,83685
2008,781043
2008,495220
2008,743195
2009,870013
2009,630762
2009,455101
2009,125422
2009,174761
2009,516567
2009,754843
2009,515011
2009,481447
2010,453577
2010,335820
2010,925069
2010,930707
2010,605436
2010,586972
2010,1147912
2010,340445
2010,577201
2011,223076
2011,911422
2011,656121
2011,652438
2011,631333
2011,810643
2011,219163
2011,186978
2011,577072
2011,1018459
2012,764901
2012,474357
2012,887614
2012,654458
2012,723086
2012,489704
2012,569359
2012,626984
2012,998474
2013,234088
2013,289163
2013,359359
2013,762071
2013,813368
2013,802457
2013,913502
2013,610713
2013,666342
2014,1099093
2014,513141
2014,603692
2014,313332
2014,873158
2014,906008
2014,1103499
2014,329361
2014,621443
2015,582606
2015,422911
2015,484849
2015,318039
2015,755390
2015,915767
2015,675452
2015,1043955
2015,193269
2016,685316
2016,666886
2016,759262
2016,591255
2016,685446
2016,694740
2016,364794
2016,287854
2016,376353
2017,669202
2017,820408
2017,305172
2017,1027770
2017,777844
2017,895344
2017,772242
2017,472897
2017,508634
2017,969548
2018,640133
2018,417049
2018,215769
2018,939719
2018,707635
2018,681574
2018,764558
2018,581939
2018,948974
2019,785578
2019,742980
2019,1140805
2019,991446
2019,453278
2019,787565
2019,866123
2019,1014251
2019,712320
2020,450397
2020,727856
2020,1032836
2020,832016
2020,587286
2020,1046329
2020,455186
2020,614198
2020,697282
2021,950993
2021,899044
2021,1110875
2021,835037
2021,635769
2021,467649
2021,562462
2021,828341
2021,642450
2022,934475
2022,1024966
2022,979053
2022,1154000
2022,1159329
2022,890785
2022,1051388
2022,674992
2022,180604
