year,predicted_water_pixels
2015,32
2015,45
2015,64
2015,1465
2015,1149704
2015,1519
2015,586
2015,627
2015,0
2015,0
2015,515
2015,517
2015,336794
2015,334968
2015,0
2015,0
2015,0
2015,67888
2015,67903
2015,0
2015,0
2015,18840
2015,18861
2015,10863
2015,10971
2015,9837
2015,9802
2015,2839
2015,2777
2015,777616
2015,777214
2015,13921
2015,13898
2015,17092
2015,17467
2015,166137
2015,166895
2015,12399
2015,12458
2015,12287
2016,12204
2016,9838
2016,9806
2016,9700
2016,9005
2016,8991
2016,18954
2016,18867
2016,9325
2016,6646
2016,6451
2016,2343
2016,491
2016,0
2016,0
2016,646485
2016,0
2016,117464
2016,0
2016,0
2016,168367
2016,0
2016,0
2016,131975
2016,1138953
2016,98121
2016,17829
2016,16567
2016,10880
2016,4642
2016,10178
2016,12288
2016,12658
2016,12456
2016,13656
2016,12775
2016,12773
2016,10520
2016,10446
2016,8234
2017,7873
2017,6850
2017,6906
2017,6087
2017,6908
2017,6936
2017,5254
2017,2052
2017,1251
2017,115
2017,18
2017,0
2017,0
2017,0
2017,0
2017,0
2017,1158266
2017,356598
2017,0
2017,71539
2017,2259
2017,1671
2017,2622
2017,0
2017,0
2017,0
2017,0
2017,0
2017,1010217
2017,0
2017,893902
2017,0
2017,0
2017,1040547
2017,130256
2017,1314
2017,0
2017,0
2017,0
2017,0
2018,0
2018,173446
2018,0
2018,30
2018,454
2018,180
2018,27381
2018,1708
2018,2147
2018,405
2018,1508
2018,507
2018,537
2018,56
2018,46
2018,0
2018,0
2018,0
2018,10388
2018,16385
2018,0
2018,572159
2018,813296
2018,0
2018,4643
2018,15073
2018,114245
2018,444227
2018,480880
2018,0
2018,0
2018,679586
2018,0
2018,3750
2018,8513
2018,18082
2018,1138953
2018,18414
2018,8046
2019,191015
2019,0
2019,803993
2019,12536
2019,12432
2019,11705
2019,11622
2019,9350
2019,9852
2019,316085
2019,9511
2019,9737
2019,9412
2019,7298
2019,984
2019,68
2019,272483
2019,0
2019,0
2019,0
2019,0
2019,0
2019,233527
2019,21742
2019,1279
2019,98724
2019,107623
2019,18876
2019,564172
2019,25678
2019,107480
2019,11056
2019,9329
2019,954321
2019,2785
2019,4275
2019,7046
2019,6565
2019,2890
2019,10248
2020,8957
2020,10587
2020,14398
2020,18460
2020,22800
2020,12483
2020,9836
2020,8816
2020,9639
2020,9955
2020,9497
2020,8908
2020,9523
2020,9931
2020,10651
2020,11278
2020,10856
2020,12142
2020,33495
2020,13181
2020,10221
2020,12444
2020,9163
2020,297379
2020,9306
2020,8068
2020,7610
2020,6975
2020,6175
2020,5614
2020,4064
2020,825
2020,11
2020,0
2020,0
2020,0
2020,0
2020,0
2020,5169
2020,16440
2021,12271
2021,56083
2021,2478
2021,12714
2021,3297
2021,4432
2021,2904
2021,0
2021,0
2021,1302
2021,7731
2021,502956
2021,130142
2021,9630
2021,1108782
2021,8012
2021,7349
2021,9487
2021,8201
2021,8432
2021,7573
2021,7875
2021,8847
2021,8963
2021,8759
2021,8562
2021,8134
2021,8405
2021,8337
2021,8199
2021,7779
2021,7325
2021,7234
2021,6919
2021,6071
2021,5654
2021,2720
2021,666
2021,0
2021,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,1138953
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,4648
2022,1118443
2022,0
2022,1076751
2022,11235
2022,11175
2022,113719
2022,466391
2022,644597
2022,350562
2022,10548
2022,9928
2022,9700
2022,9111
2022,9480
2022,9446
2022,9104
2022,9400
2022,8149
2022,8616
2022,7460
2022,7694
2022,8086
2022,7181
