year,predicted_water_pixels
1984,552553
1984,404992
1984,569585
1984,506412
1984,584686
1984,391317
1984,391964
1984,385258
1984,608068
1984,594959
1985,588566
1985,580055
1985,575691
1985,566856
1985,562216
1985,557833
1985,567376
1985,556331
1985,568421
1986,558609
1986,518765
1986,497648
1986,489744
1986,443784
1986,441526
1986,401064
1986,538546
1986,538132
1987,540686
1987,522260
1987,501198
1987,491963
1987,479670
1987,385917
1987,357073
1987,415863
1987,391334
1987,456854
1988,398070
1988,387222
1988,377054
1988,373957
1988,357187
1988,326229
1988,297454
1988,261030
1988,145621
1989,299469
1989,295410
1989,275458
1989,278408
1989,274564
1989,68320
1989,258246
1989,225298
1989,150544
1990,128146
1990,107411
1990,233169
1990,266432
1990,271297
1990,204863
1990,444974
1990,460139
1990,449459
1990,439733
1991,376180
1991,418468
1991,422991
1991,498892
1991,568891
1991,521576
1991,503688
1991,378928
1991,316649
1992,313644
1992,356201
1992,353390
1992,341482
1992,286240
1992,364905
1992,347671
1992,329734
1992,300398
1993,271356
1993,214136
1993,221132
1993,321521
1993,466199
1993,469490
1993,427290
1993,481869
1993,496581
1993,491293
1994,431944
1994,331091
1994,297160
1994,328469
1994,565436
1994,601832
1994,729073
1994,713491
1994,589812
1995,658211
1995,660646
1995,634315
1995,623371
1995,608326
1995,593508
1995,574840
1995,605846
1995,599198
1996,590618
1996,575004
1996,553302
1996,539462
1996,526214
1996,507830
1996,506742
1996,480677
1996,428787
1996,379090
1997,370683
1997,491679
1997,485728
1997,467572
1997,465933
1997,600151
1997,589285
1997,565566
1997,547078
1998,511435
1998,429357
1998,408399
1998,403773
1998,382338
1998,370232
1998,359430
1998,386187
1998,361888
1999,335311
1999,296306
1999,277193
1999,244631
1999,199402
1999,182981
1999,200265
1999,162795
1999,162551
1999,154216
2000,142239
2000,141422
2000,138685
2000,144630
2000,137695
2000,133561
2000,380679
2000,347614
2000,346902
2001,311891
2001,401298
2001,487792
2001,459586
2001,358143
2001,330619
2001,272321
2001,1128196
2001,363647
2002,201911
2002,186728
2002,190067
2002,175846
2002,168518
2002,165089
2002,147961
2002,155195
2002,247522
2002,386832
2003,350511
2003,310027
2003,255569
2003,215082
2003,330534
2003,257038
2003,233183
2003,179172
2003,173789
2004,519100
2004,141742
2004,143053
2004,430005
2004,266451
2004,325117
2004,231264
2004,106836
2004,115714
2005,107804
2005,296204
2005,252843
2005,333345
2005,225423
2005,199029
2005,208595
2005,219267
2005,269679
2005,218174
2006,210844
2006,227970
2006,328557
2006,300617
2006,710731
2006,95791
2006,221719
2006,98592
2006,141055
2007,189902
2007,177052
2007,236830
2007,226722
2007,88703
2007,200240
2007,223807
2007,244248
2007,239768
2008,296463
2008,122064
2008,88474
2008,100706
2008,170691
2008,149765
2008,251577
2008,83298
2008,198338
2008,84597
2009,358982
2009,135729
2009,1086673
2009,338580
2009,382633
2009,321412
2009,218049
2009,245089
2009,158778
2010,125686
2010,116906
2010,109527
2010,156394
2010,277251
2010,559366
2010,699873
2010,492722
2010,506647
2011,521014
2011,479148
2011,511997
2011,500766
2011,459016
2011,364025
2011,289032
2011,340697
2011,217668
2011,363275
2012,603903
2012,240891
2012,216801
2012,221274
2012,191935
2012,186045
2012,186367
2012,187892
2012,199410
2013,745081
2013,285916
2013,189888
2013,516727
2013,366719
2013,232901
2013,118388
2013,62990
2013,120434
2014,769590
2014,223779
2014,612765
2014,33389
2014,654035
2014,691711
2014,651856
2014,672796
2014,687696
2014,607394
2015,568690
2015,534522
2015,494924
2015,412438
2015,418891
2015,479570
2015,493320
2015,506727
2015,452684
2016,449868
2016,443639
2016,427021
2016,343427
2016,206964
2016,219908
2016,133191
2016,134353
2016,127966
2017,197452
2017,218991
2017,380962
2017,248230
2017,280791
2017,171993
2017,183071
2017,198860
2017,183742
2017,283968
2018,509943
2018,453062
2018,248440
2018,508494
2018,460082
2018,462361
2018,229699
2018,346492
2018,334016
2019,329971
2019,326621
2019,308551
2019,320020
2019,284662
2019,614310
2019,639431
2019,703186
2019,740911
2020,706698
2020,705198
2020,681328
2020,667287
2020,643912
2020,621692
2020,619856
2020,613418
2020,612785
2020,619404
2021,617041
2021,635635
2021,621650
2021,638129
2021,634022
2021,631958
2021,635229
2021,621218
2021,625204
2022,618061
2022,615907
2022,606331
2022,810343
2022,799343
2022,786647
2022,789128
2022,688828
2022,698725
