year,predicted_water_pixels
1984,1408
1984,34
1984,0
1984,43882
1984,0
1984,5733
1984,11383
1984,74732
1984,500
1984,12654
1985,297
1985,0
1985,0
1985,0
1985,8685
1985,25881
1985,44644
1985,138
1985,14357
1986,4975
1986,202147
1986,27541
1986,1831
1986,161399
1986,30569
1986,0
1986,0
1986,0
1987,29791
1987,20
1987,0
1987,0
1987,146
1987,0
1987,0
1987,0
1987,0
1988,41962
1988,54600
1988,0
1988,0
1988,5622
1988,0
1988,0
1988,15313
1988,1698
1989,46887
1989,0
1989,688
1989,0
1989,0
1989,149591
1989,37870
1989,0
1989,1878
1990,31339
1990,56
1990,17495
1990,40818
1990,93932
1990,41112
1990,90069
1990,15051
1990,56075
1991,0
1991,26307
1991,16913
1991,0
1991,857729
1991,79727
1991,29726
1991,7677
1991,14597
1992,46871
1992,45206
1992,0
1992,170
1992,0
1992,260
1992,153703
1992,77061
1992,0
1993,0
1993,16561
1993,235048
1993,0
1993,14853
1993,847
1993,1949
1993,38339
1993,133612
1994,7072
1994,64789
1994,879
1994,7
1994,0
1994,0
1994,31
1994,2511
1994,0
1995,82
1995,69191
1995,16066
1995,5163
1995,10780
1995,7824
1995,589741
1995,8870
1995,6408
1996,30988
1996,0
1996,4107
1996,20329
1996,50381
1996,23449
1996,5736
1996,0
1996,17778
1997,0
1997,0
1997,61018
1997,0
1997,0
1997,38859
1997,44398
1997,48202
1997,0
1998,7923
1998,0
1998,0
1998,29764
1998,8884
1998,196846
1998,4
1998,3243
1998,187110
1999,14979
1999,1659
1999,17699
1999,28669
1999,0
1999,8110
1999,0
1999,30113
1999,36031
2000,1506
2000,73259
2000,45288
2000,32035
2000,6057
2000,30325
2000,5609
2000,2559
2000,159072
2001,129663
2001,89418
2001,58295
2001,164631
2001,183220
2001,249366
2001,340100
2001,376720
2001,371539
2002,292481
2002,258028
2002,308858
2002,264199
2002,471251
2002,591768
2002,244698
2002,231772
2002,348115
2003,374375
2003,610333
2003,529340
2003,332158
2003,481144
2003,459637
2003,237103
2003,573595
2003,626817
2004,280277
2004,616790
2004,507312
2004,210758
2004,358159
2004,248535
2004,399576
2004,371036
2004,326838
2005,482682
2005,321979
2005,310709
2005,271235
2005,309494
2005,376369
2005,0
2005,719726
2005,484391
2006,663
2006,260671
2006,329527
2006,376442
2006,225879
2006,210854
2006,322420
2006,781801
2006,366885
2007,372547
2007,7559
2007,407321
2007,42625
2007,294232
2007,451111
2007,181858
2007,442721
2007,409016
2008,390749
2008,27626
2008,236392
2008,605363
2008,341620
2008,376797
2008,437039
2008,47105
2008,483177
2009,418662
2009,464786
2009,415819
2009,242258
2009,565470
2009,593679
2009,590740
2009,551331
2009,538556
2010,366966
2010,459361
2010,451354
2010,264845
2010,103562
2010,559020
2010,16779
2010,380006
2010,496125
2011,263415
2011,314288
2011,364060
2011,530708
2011,434740
2011,406404
2011,364465
2011,546876
2011,505287
2012,831050
2012,37246
2012,542084
2012,430326
2012,300091
2012,291498
2012,433076
2012,1283
2012,719253
2013,374191
2013,765992
2013,741411
2013,384697
2013,494557
2013,370934
2013,496877
2013,428706
2013,94150
2014,307556
2014,496449
2014,32196
2014,586420
2014,426105
2014,13735
2014,487335
2014,24956
2014,432966
2015,295866
2015,381765
2015,554459
2015,219597
2015,267528
2015,251922
2015,15827
2015,458257
2015,379562
2016,466493
2016,315418
2016,403147
2016,399676
2016,308335
2016,253122
2016,362845
2016,445747
2016,0
2017,0
2017,454861
2017,1016704
2017,398270
2017,252053
2017,384898
2017,216558
2017,315786
2017,381979
2018,319203
2018,288463
2018,420014
2018,258102
2018,567073
2018,158
2018,434144
2018,493471
2018,600858
2019,268818
2019,276052
2019,639986
2019,515066
2019,387226
2019,349322
2019,227208
2019,245498
2019,316975
2020,590616
2020,313077
2020,369436
2020,311470
2020,323242
2020,294732
2020,321315
2020,337874
2020,276939
2021,321519
2021,13795
2021,448668
2021,357448
2021,306679
2021,201411
2021,313712
2021,402503
2021,279974
2022,224630
2022,0
2022,548773
2022,0
2022,143167
2022,144163
2022,74277
2022,170069
2022,310978
