year,predicted_water_pixels
2015,18059
2015,18348
2015,14147
2015,4824
2015,4816
2015,0
2015,1155737
2015,22344
2015,34713
2015,34717
2015,3074
2015,32948
2015,32846
2015,32578
2015,25145
2015,25140
2015,307792
2015,308720
2015,0
2015,0
2015,0
2015,0
2015,0
2015,0
2015,191923
2015,191944
2015,30748
2015,31111
2015,28351
2015,28434
2015,30355
2015,30428
2015,29611
2015,29645
2015,25701
2015,25619
2015,26878
2015,26917
2015,38622
2015,38781
2016,37699
2016,38415
2016,36253
2016,36158
2016,35765
2016,35947
2016,37389
2016,37321
2016,36396
2016,36481
2016,37363
2016,37425
2016,35498
2016,35440
2016,36572
2016,36602
2016,35367
2016,35381
2016,31781
2016,31735
2016,32537
2016,30575
2016,26670
2016,24548
2016,22952
2016,20026
2016,15928
2016,0
2016,0
2016,0
2016,0
2016,33912
2016,31855
2016,29858
2016,25557
2016,22271
2016,18266
2016,19122
2016,19666
2017,15277
2017,1903
2017,93
2017,0
2017,0
2017,0
2017,314518
2017,0
2017,0
2017,0
2017,945
2017,0
2017,0
2017,778
2017,0
2017,2375
2017,1482
2017,1407
2017,1615
2017,66
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,234135
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2018,0
2018,0
2018,0
2018,188
2018,20
2018,1088
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,219
2018,206
2018,0
2018,9194
2018,4740
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,1066
2018,0
2018,0
2018,0
2018,0
2018,154720
2019,22934
2019,14735
2019,8900
2019,8262
2019,1282
2019,0
2019,0
2019,11239
2019,7236
2019,23363
2019,36014
2019,33562
2019,35813
2019,39211
2019,35196
2019,34258
2019,33846
2019,32389
2019,28120
2019,26725
2019,32626
2019,47026
2019,22563
2019,8904
2019,4186
2019,0
2019,0
2019,0
2019,28451
2019,29915
2019,24080
2019,23287
2019,27014
2019,29846
2019,24279
2019,32478
2019,32186
2019,29586
2019,23637
2020,25169
2020,37032
2020,32640
2020,30
2020,4183
2020,90350
2020,14968
2020,19183
2020,13979
2020,14139
2020,11502
2020,7622
2020,7448
2020,6435
2020,2606
2020,2034
2020,0
2020,0
2020,1179
2020,12833
2020,4390
2020,7741
2020,10530
2020,3315
2020,3908
2020,0
2020,177
2020,7
2020,0
2020,0
2020,50
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2021,0
2021,0
2021,0
2021,32882
2021,29530
2021,28007
2021,27496
2021,27539
2021,12389
2021,22945
2021,22345
2021,20459
2021,26321
2021,16512
2021,14979
2021,13386
2021,12918
2021,7610
2021,14670
2021,13463
2021,35493
2021,33100
2021,33144
2021,27068
2021,22080
2021,21665
2021,20306
2021,19824
2021,16731
2021,14034
2021,9348
2021,1563
2021,3789
2021,2669
2021,170
2021,0
2021,0
2021,0
2021,3
2022,373
2022,828
2022,487715
2022,0
2022,0
2022,0
2022,131
2022,0
2022,0
2022,524
2022,0
2022,0
2022,706
2022,2036
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,904350
2022,0
2022,0
2022,2449
2022,2835
2022,2969
2022,2084
2022,384
2022,0
2022,0
2022,0
2022,151543
2022,0
2022,0
2022,0
2022,513400
2022,0
2022,0
